text,label
No Blanche she is upset because they keep changing the taste of coke.,1
"I don't know Rose, maybe Marry Poppins has an Italian cousin.",1
No itÕs the rose in the kitchen thing.,1
"I'm sorry Sophia, but in Dorothy's defence, it sure sounds a lot like her.",1
Because it wears a little sunbrella Rose.,1
"In what Blanche, dog years?",1
"Rose, you should sit here and watch her hack herself to death",1
"I don't know. Somebody bigger and... Yeah, sure. Why not you?",1
"Notify the editors of the Oxford English Dictionary. The word ""plenty"" has been redefined to mean ""two.""",1
"I understand your point, but given a choice, Jews always go with Chinese food.",1
"Yeah, terrific. The other astronauts would love to go hurtling through space with a guy named ""Crash.""",1
"Hope your hands are steady. It's the width of a single hair. But this is just biology, so I'm sure it's no problem for a genius like you.",1
"Also instead of just living in your mother's house, you could actually live inside her body.",1
"There they go, fighting again. You'd never hear her talk that way to Sauvignon Blanc.",1
"You know, the holidays are just around the corner. Maybe he wants to see if he can lodge the other testicle up there.",1
This is why I've been saying we should keep champagne on ice.,1
It's why my people wandered the desert for 40 years. Took that long to walk it off.,1
"Sheldon, if you were a robot, and I knew and you didn't...",0
"Leonard, may I present, live from New Delhi, Dr. and Mrs. V. M. Koothrappali.",0
Don't you think looking for a new city to live in is a bit of an overreaction?,0
What did you mean when you said you were going to miss me?,0
Then buckle up; you're in for a cranky night.,0
"And if I had a friend, they might have told me that.",0
Let's not talk about this in front of our friends.,0
I can't believe we wasted all that time on our Hulk costumes.,0
"No, just me, her and a couple of the big wigs. It's part of a bonus she got.",0
I'm not saying that you're not fun. You're the most fun person I know.,0
"Uh, so how many cameras are actually on you.",1
Yeah either that or gloria estefan was right eventually the rhythm is going to get you,1
"Okay, but if you are not coming back soon, there is pretty much nothing I can do about it",1
"Oh, wait a minute, I have no one.",1
"If that doesn't keep kids in school, what will?",1
"Oh Oh, I am convinced!",1
Well thank God your livelihood doesn't depend on it.,1
Oh tons. I am quite the woodsman.,1
"Oh I see, I thought you just really really liked your new couch.",1
"Well, it will probably slow me down at first. But once I am used to the extra weight, I ll get back on track.",1
I'd miss you if I broke up with you. Just trying to be supportive.,0
We got a box.,0
"Oh hey, great, you're up. Rachel, this is my sister Krista. Krista, this is Rachel.",0
Nobody sees the king!,0
"Yeah, I don't think so Joe.",0
Ohhh!!!!,0
"So, I'm sorry I just don't think we should go away together yet.",0
Chandler?,0
The end.,0
"Oh yeah he has a caretaker his older brother, Ernie. You can't make this stuff up!",0
